Model / Part,Cores,Threads,Freq.,Turbo freq.,L2 cache,TDP (Watt),Socket,Category,FSB (MHz),L3 cache,L1 cache,launchDate,numCores,numThreads,baseClock,maxboostClock,allCoreBoostSpeed,L1Cache,L2Cache,L3Cache,processTech,PCIeVersion,PCIeLanes,defaultTDP,configTDP,tjMax,sysMemType,sysMemSpecs,memChannels,perSocketMemBW,graphicsCores,graphicsFreq,unlocked,platform,cpuSocket,socketCount,family,line,graphicsModel,thermalSolution
A4 PRO-7300B,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4 PRO-7350B,2,2,3.4 GHz,3.8 GHz,1MB,65.0,Socket FM2+,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3300,2,2,2.5 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3300,2,2,2.5 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3400,2,2,2.7 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3400,2,2,2.7 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3420,2,2,2.8 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3450,2,2,2.9 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4000,2,2,3 GHz,3.2 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4020,2,2,3.2 GHz,3.4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5300,2,2,3.4 GHz,3.6 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5300B,2,2,3.4 GHz,3.6 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6300,2,2,3.7 GHz,3.9 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6300B,2,2,3.7 GHz,3.9 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6320,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6320B,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-7300,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A4-8350B,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2+,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4 Pro-3350B,4,4,2 GHz,2.4 GHz,2MB,15.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3300M,2,2,1.9 GHz,2.5 GHz,2MB,35.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3305M,2,2,1.9 GHz,2.5 GHz,1MB,35.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3310MX,2,2,2.1 GHz,2.5 GHz,2MB,45.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3320M,2,2,2 GHz,2.6 GHz,2MB,35.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3330MX,2,2,2.2 GHz,2.6 GHz,2MB,45.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3330MX,2,2,2.3 GHz,2.6 GHz,1MB,45.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4300M,2,2,2.5 GHz,3 GHz,1MB,35.0,Socket FS1 (FS1r2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4355M,2,2,1.9 GHz,2.4 GHz,1MB,17.0,BGA827 (FP2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5000,4,4,1.5 GHz,,2MB,15.0,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5050,4,4,1.55 GHz,,2MB,13.5,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5100,4,4,1.55 GHz,,2MB,15.0,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5145M,2,2,2 GHz,2.6 GHz,1MB,17.0,BGA827 (FP2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5150M,2,2,2.7 GHz,3.3 GHz,1MB,35.0,Socket FS1 (FS1r2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6210,4,4,1.8 GHz,,2MB,15.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6250,4,4,2 GHz,,2MB,25.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-7210,4,4,1.8 GHz,2.2 GHz,2MB,15.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-7210,4,4,1.8 GHz,2.2 GHz,2MB,15.0,BGA (FP4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9120,2,2,2.2 GHz,2.5 GHz,1MB,15.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9120C,2,2,1.6 GHz,2.4 GHz,1MB,6.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9120e,2,2,1.5 GHz,2.2 GHz,1MB,,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9125,2,2,2.3 GHz,2.6 GHz,1MB,15.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-PRO 3340B,4,4,2.2 GHz,,2MB,25.0,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A4-4350B,2,2,2.5 GHz,2.9 GHz,1MB,15.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6 PRO-7400B,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3500,3,3,2.1 GHz,2.4 GHz,3MB,65.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3600,4,4,2.1 GHz,2.4 GHz,4MB,65.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3620,4,4,2.2 GHz,2.5 GHz,4MB,65.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3650,4,4,2.6 GHz,,4MB,100.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3670K,4,4,2.7 GHz,,4MB,100.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5400B,2,2,3.6 GHz,3.8 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5400K,2,2,3.6 GHz,3.8 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6400B,2,2,3.9 GHz,4.1 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6400K,2,2,3.9 GHz,4.1 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6420B,2,2,4 GHz,4.2 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6420K,2,2,4 GHz,4.2 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-7400K,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-7470K,2,2,3.7 GHz,4 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-8550,2,2,3.7 GHz,4 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9230,2,2,2.6 GHz,2.8 GHz,1MB,25.0,BGA (FT4),A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9500,2,2,3.5 GHz,3.8 GHz,1MB,65.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9500E,2,2,3 GHz,3.4 GHz,1MB,35.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9550,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-8550B,2,2,3.7 GHz,4 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-8570,2,2,3.5 GHz,3.8 GHz,1MB,65.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-8570E,2,2,3 GHz,3.4 GHz,1MB,35.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-8580,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-9500,2,2,3.5 GHz,3.8 GHz,1MB,65.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-9500E,2,2,3 GHz,3.4 GHz,1MB,35.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6 Pro-7050B,2,2,2.2 GHz,3 GHz,1MB,17.0,BGA (FP3),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3400M,4,4,1.4 GHz,2.3 GHz,4MB,35.0,Socket FS1,A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3410MX,4,4,1.6 GHz,2.3 GHz,4MB,45.0,Socket FS1,A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3420M,4,4,1.5 GHz,2.4 GHz,4MB,35.0,Socket FS1,A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3430MX,4,4,1.7 GHz,2.4 GHz,4MB,45.0,Socket FS1,A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-4400M,2,2,2.7 GHz,3.2 GHz,1MB,35.0,Socket FS1 (FS1r2),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-4455M,2,2,2.1 GHz,2.6 GHz,2MB,17.0,BGA827 (FP2),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5200,4,4,2 GHz,,2MB,25.0,BGA769 (FT3),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5345M,2,2,2.2 GHz,2.8 GHz,1MB,17.0,BGA827 (FP2),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5350M,2,2,2.9 GHz,3.5 GHz,1MB,35.0,Socket FS1 (FS1r2),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5357M,2,2,2.9 GHz,3.5 GHz,1MB,35.0,BGA827 (FP2),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6310,4,4,1.8 GHz,2.4 GHz,2MB,15.0,BGA769 (FT3b),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-7000,2,2,2.2 GHz,3 GHz,1MB,17.0,BGA (FP3),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-7310,4,4,2 GHz,2.4 GHz,2MB,15.0,BGA769 (FT3b),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-7310,4,4,2 GHz,2.4 GHz,2MB,15.0,BGA (FP4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-8500P,2,2,1.6 GHz,3 GHz,1MB,15.0,BGA (FP4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9200,2,2,2 GHz,2.8 GHz,1MB,10.0,BGA (FT4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9210,2,2,2.4 GHz,2.8 GHz,1MB,15.0,BGA (FP4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9220,2,2,2.5 GHz,2.9 GHz,1MB,15.0,BGA (FT4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9220C,2,2,1.8 GHz,2.7 GHz,1MB,6.0,BGA (FT4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9220e,2,2,1.6 GHz,2.4 GHz,1MB,6.0,BGA (FT4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9225,2,2,2.6 GHz,3 GHz,1MB,15.0,BGA (FT4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-7350B,2,2,3 GHz,3.6 GHz,1MB,15.0,BGA (FT4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-8500B,2,2,1.6 GHz,3 GHz,1MB,15.0,BGA (FP4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-8530B,2,2,2.3 GHz,3.2 GHz,1MB,15.0,BGA (FP4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A6-9500B,2,2,2.3 GHz,3.2 GHz,1MB,15.0,BGA (FP4),A6-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8 PRO-7600B,4,4,3.1 GHz,3.8 GHz,4MB,65.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3800,4,4,2.4 GHz,2.7 GHz,4MB,65.0,Socket FM1,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3820,4,4,2.5 GHz,2.8 GHz,4MB,65.0,Socket FM1,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3850,4,4,2.9 GHz,,4MB,100.0,Socket FM1,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3870K,4,4,3 GHz,,4MB,100.0,Socket FM1,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-5500,4,4,3.2 GHz,3.7 GHz,4MB,65.0,Socket FM2,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-5500B,4,4,3.2 GHz,3.7 GHz,4MB,65.0,Socket FM2,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-5600K,4,4,3.6 GHz,3.9 GHz,4MB,100.0,Socket FM2,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-6500,4,4,3.5 GHz,4.1 GHz,4MB,65.0,Socket FM2,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-6500B,4,4,3.5 GHz,4.1 GHz,4MB,65.0,Socket FM2,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-6500T,4,4,2.1 GHz,3.1 GHz,4MB,45.0,Socket FM2,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-6600K,4,4,3.9 GHz,4.2 GHz,4MB,100.0,Socket FM2,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7500 (1),4,4,3 GHz,,4MB,65.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7600,4,4,3.1 GHz,3.8 GHz,4MB,65.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7650K,4,4,3.3 GHz,3.8 GHz,4MB,95.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7670K,4,4,3.6 GHz,3.9 GHz,4MB,95.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7690K (1),4,4,3.7 GHz,,4MB,95.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-8650,4,4,3.2 GHz,3.8 GHz,4MB,65.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-9600,4,4,3.1 GHz,3.4 GHz,2MB,65.0,Socket AM4,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A8-8650B,4,4,3.2 GHz,3.9 GHz,4MB,65.0,Socket FM2+,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A8-9600,4,4,3.1 GHz,3.4 GHz,2MB,65.0,Socket AM4,A8-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8 Pro-7150B,4,4,1.9 GHz,3.2 GHz,4MB,19.0,BGA (FP3),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3500M,4,4,1.5 GHz,2.4 GHz,4MB,35.0,Socket FS1,A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3510MX,4,4,1.8 GHz,2.5 GHz,4MB,45.0,Socket FS1,A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3520M,4,4,1.6 GHz,2.5 GHz,4MB,35.0,Socket FS1,A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3530MX,4,4,1.9 GHz,2.6 GHz,4MB,45.0,Socket FS1,A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-3550MX,4,4,2 GHz,2.7 GHz,4MB,45.0,Socket FS1,A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-4500M,4,4,1.9 GHz,2.8 GHz,4MB,35.0,Socket FS1 (FS1r2),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-4555M,4,4,1.6 GHz,2.4 GHz,4MB,19.0,BGA827 (FP2),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-4557M,4,4,1.9 GHz,2.8 GHz,4MB,35.0,BGA827 (FP2),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-5545M,4,4,1.7 GHz,2.7 GHz,4MB,19.0,BGA827 (FP2),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-5550M,4,4,2.1 GHz,3.1 GHz,4MB,35.0,Socket FS1 (FS1r2),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-5557M,4,4,2.1 GHz,3.1 GHz,4MB,35.0,BGA827 (FP2),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-6410,4,4,2 GHz,2.4 GHz,2MB,15.0,BGA769 (FT3b),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7050,2,2,2.2 GHz,3 GHz,1MB,15.0,BGA (FP3),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7100,4,4,1.8 GHz,3 GHz,4MB,19.0,BGA (FP3),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7200P,4,4,2.4 GHz,3.3 GHz,4MB,35.0,BGA (FP3),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7410,4,4,2.2 GHz,2.5 GHz,2MB,15.0,BGA769 (FT3b),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-7410,4,4,2.2 GHz,2.5 GHz,2MB,15.0,BGA (FP4),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8-8600P,4,4,1.6 GHz,3 GHz,2MB,15.0,BGA (FP4),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A8-8600B,4,4,1.6 GHz,3 GHz,2MB,15.0,BGA (FP4),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A8-9600B,4,4,2.4 GHz,3.3 GHz,2MB,15.0,BGA (FP4),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A8-9630B,4,4,2.6 GHz,3.3 GHz,2MB,35.0,BGA (FP4),A8-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10 PRO-7800B,4,4,3.5 GHz,3.9 GHz,4MB,65.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10 PRO-7850B,4,4,3.7 GHz,4 GHz,4MB,95.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-5700,4,4,3.4 GHz,4 GHz,4MB,65.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-5800B,4,4,3.8 GHz,4.2 GHz,4MB,100.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-5800K,4,4,3.8 GHz,4.2 GHz,4MB,100.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-6700,4,4,3.7 GHz,4.3 GHz,4MB,65.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-6700T,4,4,2.5 GHz,3.5 GHz,4MB,45.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-6790B,4,4,4 GHz,4.3 GHz,4MB,100.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-6790K,4,4,4 GHz,4.3 GHz,4MB,100.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-6800B,4,4,4.1 GHz,4.4 GHz,4MB,100.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-6800K,4,4,4.1 GHz,4.4 GHz,4MB,100.0,Socket FM2,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7700K,4,4,3.4 GHz,3.8 GHz,4MB,95.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7800,4,4,3.5 GHz,3.9 GHz,4MB,65.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7850K,4,4,3.7 GHz,4 GHz,4MB,95.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7860K,4,4,3.6 GHz,4 GHz,4MB,65.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7870K,4,4,3.9 GHz,4.1 GHz,4MB,95.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7890K,4,4,4.1 GHz,4.3 GHz,4MB,95.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-8750,4,4,3.6 GHz,4 GHz,4MB,65.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-9700,4,4,3.5 GHz,3.8 GHz,2MB,65.0,Socket AM4,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-9700E,4,4,3 GHz,3.5 GHz,2MB,35.0,Socket AM4,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A10-8750B,4,4,3.6 GHz,4 GHz,4MB,65.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A10-8770,4,4,3.5 GHz,3.8 GHz,2MB,65.0,Socket AM4,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A10-8770E,4,4,2.8 GHz,3.5 GHz,2MB,35.0,Socket AM4,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A10-8850B,4,4,3.9 GHz,4.1 GHz,4MB,95.0,Socket FM2+,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A10-9700,4,4,3.5 GHz,3.8 GHz,2MB,65.0,Socket AM4,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A10-9700E,4,4,3 GHz,3.5 GHz,2MB,35.0,Socket AM4,A10-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10 Pro-7350B,4,4,2.1 GHz,3.3 GHz,4MB,19.0,BGA (FP3),A10-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-4600M,4,4,2.3 GHz,3.2 GHz,4MB,35.0,Socket FS1 (FS1r2),A10-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-4655M,4,4,2 GHz,2.8 GHz,4MB,25.0,BGA827 (FP2),A10-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-4657M,4,4,2.3 GHz,3.2 GHz,4MB,35.0,BGA827 (FP2),A10-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
