Model / Part,Cores,Threads,Freq.,Turbo freq.,FSB (MHz),L2 cache,TDP (Watt),Socket,Category,L3 cache,L1 cache,releaseDate,cores,threads,maxTurboClock,baseClock,cache,cacheInfo,TDP,lith,status,integratedG
Pentium III 1.26GHz-S,1,1,1.267 GHz,,133.0,512KB,,Socket 370,Pentium III,,,,,,,,,,,,,
Pentium III RK80530PZ014256,1,1,1.333 GHz,,133.0,256KB,,Socket 370,Pentium III,,,,,,,,,,,,,
Pentium III 1.4GHz-S,1,1,1.4 GHz,,133.0,512KB,,Socket 370,Pentium III,,,,,,,,,,,,,
Pentium III 1BGHz,1,1,1 GHz,,133.0,256KB,26.1,Socket 370,Pentium III,,,,,,,,,,,,,
Pentium III 600EB,1,1,600 MHz,,133.0,256KB,15.8,Socket 370,Pentium III,,,,,,,,,,,,,
Pentium III 800MHz-S,1,1,800 MHz,,133.0,512KB,,BGA479,Pentium III,,,,,,,,,,,,,
Pentium III RK80526PZ933256,1,1,933 MHz,,133.0,256KB,31.5,Socket 370,Pentium III,,,,,,,,,,,,,
Pentium III RK80530PZ017256,1,1,1.4 GHz,,133.0,256KB,,Socket 370,Pentium III,,,,,,,,,,,,,
Pentium M RJ80535UC9001M,1,1,900 MHz,,400.0,1MB,7.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RJ80535UC0011M,1,1,1 GHz,,400.0,1MB,7.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M UM80536UC0012M,1,1,1 GHz,,400.0,2MB,,BGA663,Pentium M,,,,,,,,,,,,,
Pentium M RJ80535LC0051M,1,1,1.1 GHz,,400.0,1MB,12.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RH80535GC0091M,1,1,1.2 GHz,,400.0,1MB,,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M RJ80535LC0091M,1,1,1.2 GHz,,400.0,1MB,12.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RH80536GC0132M,1,1,1.3 GHz,,400.0,2MB,,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M RJ80535GC0131M,1,1,1.3 GHz,,400.0,1MB,22.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RH80535GC0171M,1,1,1.4 GHz,,400.0,1MB,22.0,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M RJ80535GC0171M,1,1,1.4 GHz,,400.0,1MB,22.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 705,1,1,1.5 GHz,,400.0,1MB,24.5,Socket mPGA478C,Pentium M,,,,1.0,,,1.5,1.0,L2 Cache,,,Discontinued,
Pentium M 705,1,1,1.5 GHz,,400.0,1MB,24.5,BGA479,Pentium M,,,,1.0,,,1.5,1.0,L2 Cache,,,Discontinued,
Pentium M 710,1,1,1.4 GHz,,400.0,2MB,,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 710,1,1,1.4 GHz,,400.0,2MB,,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 713,1,1,1.1 GHz,,400.0,1MB,7.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 715,1,1,1.5 GHz,,400.0,2MB,21.0,BGA479,Pentium M,,,,1.0,,,1.5,2.0,L2 Cache,,,Discontinued,
Pentium M 715A,1,1,1.5 GHz,,400.0,2MB,,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 715A,1,1,1.5 GHz,,400.0,2MB,,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 718,1,1,1.3 GHz,,400.0,1MB,12.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 723,1,1,1 GHz,,400.0,2MB,5.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 725,1,1,1.6 GHz,,400.0,2MB,21.0,Socket mPGA478C,Pentium M,,,2004.0,1.0,,,1.6,2.0,L2 Cache,,,Discontinued,
Pentium M 725,1,1,1.6 GHz,,400.0,2MB,21.0,BGA479,Pentium M,,,2004.0,1.0,,,1.6,2.0,L2 Cache,,,Discontinued,
Pentium M RH80535GC0251M,1,1,1.6 GHz,,400.0,1MB,24.5,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 725A,1,1,1.6 GHz,,400.0,2MB,,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 725A,1,1,1.6 GHz,,400.0,2MB,,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 730,1,1,1.6 GHz,,533.0,2MB,27.0,Socket mPGA478C,Pentium M,,,,1.0,,,1.6,2.0,L2 Cache,,,Discontinued,
Pentium M 730,1,1,1.6 GHz,,533.0,2MB,27.0,BGA479,Pentium M,,,,1.0,,,1.6,2.0,L2 Cache,,,Discontinued,
Pentium M 733 / 733J,1,1,1.1 GHz,,400.0,2MB,5.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RH80535GC0131M,1,1,1.3 GHz,,400.0,1MB,22.0,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 715,1,1,1.5 GHz,,400.0,2MB,21.0,Socket mPGA478C,Pentium M,,,,1.0,,,1.5,2.0,L2 Cache,,,Discontinued,
Pentium M 735,1,1,1.7 GHz,,400.0,2MB,21.0,Socket mPGA478C,Pentium M,,,,1.0,,,1.7,2.0,L2 Cache,,,Discontinued,
Pentium M 735,1,1,1.7 GHz,,400.0,2MB,21.0,BGA479,Pentium M,,,,1.0,,,1.7,2.0,L2 Cache,,,Discontinued,
Pentium M 738,1,1,1.4 GHz,,400.0,2MB,10.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 740,1,1,1.733 GHz,,533.0,2MB,27.0,Socket mPGA478C,Pentium M,,,,1.0,,,1.73,2.0,L2 Cache,,,Discontinued,
Pentium M 740,1,1,1.733 GHz,,533.0,2MB,27.0,BGA479,Pentium M,,,,1.0,,,1.73,2.0,L2 Cache,,,Discontinued,
Pentium M 745,1,1,1.8 GHz,,400.0,2MB,21.0,Socket mPGA478C,Pentium M,,,2004.0,1.0,,,1.8,2.0,L2 Cache,,,Discontinued,
Pentium M 745,1,1,1.8 GHz,,400.0,2MB,21.0,BGA479,Pentium M,,,2004.0,1.0,,,1.8,2.0,L2 Cache,,,Discontinued,
Pentium M 745A,1,1,1.8 GHz,,400.0,2MB,,Socket mPGA478C,Pentium M,,,2004.0,1.0,,,1.8,2.0,L2 Cache,,,Discontinued,
Pentium M 750,1,1,1.867 GHz,,533.0,2MB,27.0,Socket mPGA478C,Pentium M,,,,1.0,,,1.86,2.0,L2 Cache,,,Discontinued,
Pentium M 750,1,1,1.867 GHz,,533.0,2MB,27.0,BGA479,Pentium M,,,,1.0,,,1.86,2.0,L2 Cache,,,Discontinued,
Pentium M 753,1,1,1.2 GHz,,400.0,2MB,5.5,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RJ80535GC0291M,1,1,1.7 GHz,,400.0,1MB,24.5,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RH80535GC0331M,1,1,1.8 GHz,,400.0,1MB,,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 755,1,1,2 GHz,,400.0,2MB,21.0,Socket mPGA478C,Pentium M,,,,1.0,,,2.0,2.0,L2 Cache,,,Discontinued,
Pentium M 755,1,1,2 GHz,,400.0,2MB,21.0,BGA479,Pentium M,,,,1.0,,,2.0,2.0,L2 Cache,,,Discontinued,
Pentium M 758,1,1,1.5 GHz,,400.0,2MB,10.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 760,1,1,2 GHz,,533.0,2MB,27.0,Socket mPGA478C,Pentium M,,,2004.0,1.0,,,2.0,2.0,L2 Cache,,,Discontinued,
Pentium M 760,1,1,2 GHz,,533.0,2MB,27.0,BGA479,Pentium M,,,2004.0,1.0,,,2.0,2.0,L2 Cache,,,Discontinued,
Pentium M 765,1,1,2.1 GHz,,400.0,2MB,21.0,Socket mPGA478C,Pentium M,,,,1.0,,,2.1,2.0,L2 Cache,,,Discontinued,
Pentium M 765,1,1,2.1 GHz,,400.0,2MB,21.0,BGA479,Pentium M,,,,1.0,,,2.1,2.0,L2 Cache,,,Discontinued,
Pentium M 770,1,1,2.133 GHz,,533.0,2MB,27.0,Socket mPGA478C,Pentium M,,,,1.0,,,2.13,2.0,L2 Cache,,,Discontinued,
Pentium M 770,1,1,2.133 GHz,,533.0,2MB,27.0,BGA479,Pentium M,,,,1.0,,,2.13,2.0,L2 Cache,,,Discontinued,
Pentium M 773,1,1,1.3 GHz,,400.0,2MB,5.5,BGA479,Pentium M,,,,,,,,,,,,,
