Model / Part,Cores,Threads,Freq.,Turbo freq.,FSB (MHz),L2 cache,TDP (Watt),Socket,Category,L3 cache,L1 cache,releaseDate,cores,threads,maxTurboClock,baseClock,cache,cacheInfo,TDP,lith,status,integratedG
Atom 230,1,2,1.6 GHz,,533.0,512KB,4.0,BGA437,Atom,,,2008.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,
Atom 330,2,4,1.6 GHz,,533.0,1MB,8.0,BGA437,Atom,,,2008.0,2.0,,,1.6,1.0,L2 Cache,,,Discontinued,
Atom C2308,2,2,1.25 GHz,,,1MB,6.0,BGA1283,Atom,,,2014.0,2.0,,,1.25,1.0,,,,Launched,
Atom C2316,2,2,1.5 GHz,,,1MB,7.0,BGA1283,Atom,,,2017.0,2.0,,,1.5,1.0,,,,Launched,
Atom C2338,2,2,1.7 GHz,2 GHz,,1MB,7.0,BGA1283,Atom,,,2013.0,2.0,,2.0,1.7,1.0,,,,Launched,
Atom C2350,2,2,1.7 GHz,2 GHz,,1MB,6.0,BGA1283,Atom,,,2013.0,2.0,,2.0,1.7,1.0,,,,Launched,
Atom C2358,2,2,1.7 GHz,2 GHz,,1MB,7.0,BGA1283,Atom,,,2013.0,2.0,,2.0,1.7,1.0,,,,Launched,
Atom C2508,4,4,1.25 GHz,,,2MB,9.5,BGA1283,Atom,,,2014.0,4.0,,,1.25,2.0,,,,Launched,
Atom C2516,4,4,1.4 GHz,,,2MB,10.0,BGA1283,Atom,,,2017.0,4.0,,,1.4,2.0,,,,Launched,
Atom C2518,4,4,1.7 GHz,,,2MB,13.0,BGA1283,Atom,,,2013.0,4.0,,,1.7,2.0,,,,Launched,
Atom C2530,4,4,1.7 GHz,2.4 GHz,,2MB,9.0,BGA1283,Atom,,,2013.0,4.0,,2.4,1.7,2.0,,,,Launched,
Atom C2538,4,4,2.4 GHz,,,2MB,15.0,BGA1283,Atom,,,2013.0,4.0,,,2.4,2.0,,,,Launched,
Atom C2550,4,4,2.4 GHz,2.6 GHz,,2MB,14.0,BGA1283,Atom,,,2013.0,4.0,,2.6,2.4,2.0,,,,Launched,
Atom C2558,4,4,2.4 GHz,,,2MB,15.0,BGA1283,Atom,,,2013.0,4.0,,,2.4,2.0,,,,Launched,
Atom C2718,8,8,2 GHz,,,4MB,18.0,BGA1283,Atom,,,2013.0,8.0,,,2.0,4.0,,,,Launched,
Atom C2730,8,8,1.7 GHz,2.4 GHz,,4MB,12.0,BGA1283,Atom,,,2013.0,8.0,,2.4,1.7,4.0,,,,Launched,
Atom C2738,8,8,2.4 GHz,,,4MB,20.0,BGA1283,Atom,,,2013.0,8.0,,,2.4,4.0,,,,Launched,
Atom C2750,8,8,2.4 GHz,2.6 GHz,,4MB,20.0,BGA1283,Atom,,,2013.0,8.0,,2.6,2.4,4.0,,,,Launched,
Atom C2758,8,8,2.4 GHz,,,4MB,20.0,BGA1283,Atom,,,2013.0,8.0,,,2.4,4.0,,,,Launched,
Atom C3308,2,2,1.6 GHz,2.1 GHz,,4MB,9.5,BGA1310,Atom,,,2017.0,2.0,,2.1,1.6,4.0,,,,Launched,
Atom C3336,2,2,1.5 GHz,,,4MB,11.0,BGA1310,Atom,,,2018.0,2.0,,,1.5,4.0,,,,Launched,
Atom C3338,2,2,1.5 GHz,2.2 GHz,,4MB,9.0,BGA1310,Atom,,,2017.0,2.0,,2.2,1.5,4.0,,,,Launched,
Atom C3508,4,4,1.6 GHz,,,8MB,11.5,BGA1310,Atom,,,2017.0,4.0,,1.6,1.6,8.0,,,,Launched,
Atom C3538,4,4,2.1 GHz,,,8MB,15.0,BGA1310,Atom,,,2017.0,4.0,,2.1,2.1,8.0,,,,Launched,
Atom C3558,4,4,2.2 GHz,,,8MB,16.0,BGA1310,Atom,,,2017.0,4.0,,2.2,2.2,8.0,,,,Launched,
Atom C3708,8,8,1.7 GHz,,,16MB,17.0,BGA1310,Atom,,,2017.0,8.0,,1.7,1.7,16.0,,,,Launched,
Atom C3750,8,8,2.2 GHz,2.4 GHz,,16MB,21.0,BGA1310,Atom,,,2017.0,8.0,,2.4,2.2,16.0,,,,Launched,
Atom C3758,8,8,2.2 GHz,,,16MB,25.0,BGA1310,Atom,,,2017.0,8.0,,2.2,2.2,16.0,,,,Launched,
Atom C3808,12,12,2 GHz,,,12MB,25.0,BGA1310,Atom,,,2017.0,12.0,,2.0,2.0,12.0,,,,Launched,
Atom C3830,12,12,1.9 GHz,2.3 GHz,,12MB,21.5,BGA1310,Atom,,,2017.0,12.0,,2.3,1.9,12.0,,,,Launched,
Atom C3850,12,12,2.1 GHz,2.4 GHz,,12MB,25.0,BGA1310,Atom,,,2017.0,12.0,,2.4,2.1,12.0,,,,Launched,
Atom C3858,12,12,2 GHz,,,12MB,25.0,BGA1310,Atom,,,2017.0,12.0,,2.0,2.0,12.0,,,,Launched,
Atom C3950,16,16,1.7 GHz,2.2 GHz,,16MB,24.0,BGA1310,Atom,,,2017.0,16.0,,2.2,1.7,16.0,,,,Launched,
Atom C3955,16,16,2.1 GHz,2.4 GHz,,16MB,32.0,BGA1310,Atom,,,2017.0,16.0,,2.4,2.1,16.0,,,,Launched,
Atom C3958,16,16,2 GHz,,,16MB,31.0,BGA1310,Atom,,,2017.0,16.0,,2.0,2.0,16.0,,,,Launched,
Atom CE4110,1,1,1.2 GHz,,,512KB,9.0,BGA951,Atom,,,,,,,,,,,,,
Atom CE4130,1,1,1.2 GHz,,,512KB,9.0,BGA951,Atom,,,,,,,,,,,,,
Atom CE4150,1,1,1.2 GHz,,,512KB,9.0,BGA951,Atom,,,,,,,,,,,,,
Atom CE4170,1,1,1.6 GHz,,,512KB,,BGA951,Atom,,,,,,,,,,,,,
Atom D2500,2,2,1.867 GHz,,,1MB,10.0,BGA559,Atom,,,2011.0,2.0,,,1.86,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom D2550,2,4,1.867 GHz,,,1MB,10.0,BGA559,Atom,,,2012.0,2.0,,,1.86,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom D2560,2,4,2 GHz,,,1MB,10.0,BGA559,Atom,,,,,,,,,,,,,
Atom D2700,2,4,2.133 GHz,,,1MB,10.0,BGA559,Atom,,,2011.0,2.0,,,2.13,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom D2701,2,4,2.133 GHz,,,1MB,10.0,BGA559,Atom,,,,,,,,,,,,,
Atom D410,1,2,1.667 GHz,,,512KB,10.0,BGA559,Atom,,,2010.0,1.0,,,1.66,0.5,L2 Cache,,,Discontinued,
Atom D425,1,2,1.8 GHz,,,512KB,10.0,BGA559,Atom,,,2010.0,1.0,,,1.8,0.5,L2 Cache,,,Discontinued,
Atom D510,2,4,1.667 GHz,,,1MB,13.0,BGA559,Atom,,,2010.0,2.0,,,1.66,1.0,L2 Cache,,,Discontinued,
Atom D525,2,4,1.8 GHz,,,1MB,13.0,BGA559,Atom,,,2010.0,2.0,,,1.8,1.0,L2 Cache,,,Discontinued,
Atom E3805,2,2,1.333 GHz,,,1MB,3.0,BGA1170,Atom,,,2014.0,2.0,,,1.33,1.0,L2 Cache,,,Launched,
Atom E3815,1,1,1.467 GHz,,,512KB,5.0,BGA1170,Atom,,,2013.0,1.0,,,1.46,0.5,L2 Cache,,,Launched,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3825,2,2,1.333 GHz,,,1MB,6.0,BGA1170,Atom,,,2013.0,2.0,,,1.33,1.0,L2 Cache,,,Launched,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3826,2,2,1.467 GHz,,,1MB,7.0,BGA1170,Atom,,,2013.0,2.0,,,1.46,1.0,L2 Cache,,,Launched,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3827,2,2,1.75 GHz,,,1MB,8.0,BGA1170,Atom,,,2013.0,2.0,,,1.75,1.0,L2 Cache,,,Launched,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3845,4,4,1.91 GHz,,,2MB,10.0,BGA1170,Atom,,,2013.0,4.0,,,1.91,2.0,L2 Cache,,,Launched,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E620,1,2,600 MHz,,,512KB,2.7,BGA676,Atom,,,2010.0,1.0,,,0.6,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E620T,1,2,600 MHz,,,512KB,2.7,BGA676,Atom,,,2010.0,1.0,,,0.6,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E625C,1,2,600 MHz,,,512KB,7.0,BGA1466,Atom,,,,,,,,,,,,,
Atom E625CT,1,2,600 MHz,,,512KB,7.0,BGA1466,Atom,,,,,,,,,,,,,
Atom E640,1,2,1 GHz,,,512KB,3.3,BGA676,Atom,,,2010.0,1.0,,,1.0,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E640T,1,2,1 GHz,,,512KB,3.3,BGA676,Atom,,,2010.0,1.0,,,1.0,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E645C,1,2,1 GHz,,,512KB,7.0,BGA1466,Atom,,,2010.0,1.0,,,1.0,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E645CT,1,2,1 GHz,,,512KB,7.0,BGA1466,Atom,,,2010.0,1.0,,,1.0,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E660,1,2,1.3 GHz,,,512KB,3.3,BGA676,Atom,,,2010.0,1.0,,,1.3,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E660T,1,2,1.3 GHz,,,512KB,3.3,BGA676,Atom,,,2010.0,1.0,,,1.3,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E665C,1,2,1.3 GHz,,,512KB,7.0,BGA1466,Atom,,,2010.0,1.0,,,1.3,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E665CT,1,2,1.3 GHz,,,512KB,7.0,BGA1466,Atom,,,2010.0,1.0,,,1.3,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E680,1,2,1.6 GHz,,,512KB,3.9,BGA676,Atom,,,2010.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom E680T,1,2,1.6 GHz,,,512KB,3.9,BGA676,Atom,,,2010.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom N2100,1,2,1.6 GHz,,,512KB,,BGA559,Atom,,,,,,,,,,,,,
Atom N2600,2,4,1.6 GHz,,,1MB,3.5,BGA559,Atom,,,2011.0,2.0,,,1.6,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom N270,1,2,1.6 GHz,,533.0,512KB,2.5,BGA437,Atom,,,2008.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,
Atom N280,1,2,1.667 GHz,,667.0,512KB,2.5,BGA437,Atom,,,2009.0,1.0,,,1.66,0.5,L2 Cache,,,Discontinued,
Atom N2800,2,4,1.867 GHz,,,1MB,6.5,BGA559,Atom,,,2011.0,2.0,,,1.86,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom N435,1,2,1.333 GHz,,,512KB,,BGA559,Atom,,,,,,,,,,,,,
Atom N450,1,2,1.667 GHz,,,512KB,5.5,BGA559,Atom,,,2010.0,1.0,,,1.66,0.5,L2 Cache,,,Discontinued,
Atom N455,1,2,1.667 GHz,,,512KB,6.5,BGA559,Atom,,,2010.0,1.0,,,1.66,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom N470,1,2,1.833 GHz,,,512KB,6.5,BGA559,Atom,,,2010.0,1.0,,,1.83,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom N475,1,2,1.833 GHz,,,512KB,6.5,BGA559,Atom,,,2010.0,1.0,,,1.83,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom N550,2,4,1.5 GHz,,,1MB,8.5,BGA559,Atom,,,2010.0,2.0,,,1.5,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom N570,2,4,1.667 GHz,,,1MB,8.5,BGA559,Atom,,,2011.0,2.0,,,1.66,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom S1220,2,4,1.6 GHz,,,1MB,8.1,BGA1283,Atom,,,2012.0,2.0,,,1.6,1.0,L2 Cache,,,Discontinued,
Atom S1240,2,4,1.6 GHz,,,1MB,6.1,BGA1283,Atom,,,2012.0,2.0,,,1.6,1.0,L2 Cache,,,Discontinued,
Atom S1260,2,4,2 GHz,,,1MB,8.5,BGA1283,Atom,,,2012.0,2.0,,,2.0,1.0,L2 Cache,,,Discontinued,
Atom S1269,2,4,1.6 GHz,,,1MB,11.7,BGA1283,Atom,,,,,,,,,,,,,
Atom S1279,2,4,1.6 GHz,,,1MB,13.1,BGA1283,Atom,,,,,,,,,,,,,
Atom S1289,2,4,2 GHz,,,1MB,14.1,BGA1283,Atom,,,,,,,,,,,,,
Atom T5500 (1),4,4,1.5 GHz,,,4MB,,BGA,Atom,,,,,,,,,,,,,
Atom T5700,4,4,1.7 GHz,2.4 GHz,,4MB,,BGA,Atom,,,,,,,,,,,,,
Atom Z2000 (1),1,1,1 GHz,,,512KB,,,Atom,,,,,,,,,,,,,
Atom Z2460,1,2,1.3 GHz,1.6 GHz,,512KB,,BGA617,Atom,,,2012.0,1.0,,,,0.5,Intel Smart Cache,,,Discontinued,Yes (Name Unknown)
Atom Z2520,2,4,933 MHz,1.2 GHz,,1MB,,FC-MB4760,Atom,,,2013.0,2.0,,,1.2,1.0,Intel Smart Cache,,,Discontinued,Yes (Name Unknown)
Atom Z2560,2,4,933 MHz,1.6 GHz,,1MB,,FC-MB4760,Atom,,,2013.0,2.0,,,,1.0,Intel Smart Cache,,,Discontinued,Yes (Name Unknown)
Atom Z2580,2,4,933 MHz,2 GHz,,1MB,,FC-MB4760,Atom,,,2013.0,2.0,,,,1.0,Intel Smart Cache,,,Discontinued,Yes (Name Unknown)
Atom Z2610,1,2,1.3 GHz,1.6 GHz,,512KB,,BGA617,Atom,,,,,,,,,,,,,
Atom Z2760,2,4,1.5 GHz,1.8 GHz,,1MB,,FC-MB4760,Atom,,,2012.0,2.0,,,1.8,1.0,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom Z3680,2,2,1.333 GHz,2 GHz,,1MB,,BGA1380,Atom,,,,,,,,,,,,,
Atom Z3680D,2,2,1.333 GHz,2 GHz,,1MB,,BGA1380,Atom,,,,,,,,,,,,,
Atom Z3735D,4,4,1.333 GHz,1.833 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3735E,4,4,1.333 GHz,1.833 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3735F,4,4,1.333 GHz,1.833 GHz,,2MB,,BGA592,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3735G,4,4,1.333 GHz,1.833 GHz,,2MB,,BGA592,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3736F,4,4,1.333 GHz,2.167 GHz,,2MB,,BGA592,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3736G,4,4,1.333 GHz,2.167 GHz,,2MB,,BGA592,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3740,4,4,1.333 GHz,1.867 GHz,,2MB,,BGA1380,Atom,,,2013.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3740D,4,4,1.333 GHz,1.833 GHz,,2MB,,BGA1380,Atom,,,2013.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3745,4,4,1.333 GHz,1.867 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3745D,4,4,1.333 GHz,1.833 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.33,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3770,4,4,1.467 GHz,2.39 GHz,,2MB,,BGA1380,Atom,,,2013.0,4.0,,,1.46,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3770D,4,4,1.5 GHz,2.41 GHz,,2MB,,BGA1380,Atom,,,2013.0,4.0,,,1.5,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3775,4,4,1.467 GHz,2.39 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.46,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3775D,4,4,1.49 GHz,2.41 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.49,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3785,4,4,1.49 GHz,2.41 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.49,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3795,4,4,1.59 GHz,2.39 GHz,,2MB,,BGA1380,Atom,,,2014.0,4.0,,,1.59,2.0,L2 Cache,,,Discontinued,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z500,1,1,800 MHz,,400.0,512KB,0.65,BGA441,Atom,,,2008.0,1.0,,,0.8,0.5,L2 Cache,,,Discontinued,
Atom Z510,1,1,1.1 GHz,,400.0,512KB,2.0,BGA441,Atom,,,2008.0,1.0,,,1.1,0.5,L2 Cache,,,Discontinued,
Atom Z510P,1,2,1.1 GHz,,400.0,512KB,2.0,BGA437,Atom,,,2008.0,1.0,,,1.1,0.5,L2 Cache,,,Discontinued,
Atom Z510PT,1,2,1.1 GHz,,400.0,512KB,2.0,BGA437,Atom,,,2008.0,1.0,,,1.1,0.5,L2 Cache,,,Discontinued,
Atom Z515,1,2,800 MHz,1.2 GHz,400.0,512KB,0.65,BGA441,Atom,,,2009.0,1.0,,,1.2,0.5,L2 Cache,,,Discontinued,
Atom Z520,1,2,1.333 GHz,,533.0,512KB,2.0,BGA441,Atom,,,2008.0,1.0,,,1.33,0.5,L2 Cache,,,Discontinued,
Atom Z520PT,1,2,1.333 GHz,,533.0,512KB,2.0,BGA437,Atom,,,2008.0,1.0,,,1.33,0.5,L2 Cache,,,Discontinued,
Atom Z530,1,2,1.6 GHz,,533.0,512KB,2.0,BGA441,Atom,,,2008.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,
Atom Z530P,1,2,1.6 GHz,,533.0,512KB,2.0,BGA437,Atom,,,2008.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,
Atom Z540,1,2,1.867 GHz,,533.0,512KB,2.4,BGA441,Atom,,,2008.0,1.0,,,1.86,0.5,L2 Cache,,,Discontinued,
Atom Z550,1,2,2 GHz,,533.0,512KB,2.4,BGA441,Atom,,,2009.0,1.0,,,2.0,0.5,L2 Cache,,,Discontinued,
Atom Z560,1,2,2.133 GHz,,533.0,512KB,2.5,BGA441,Atom,,,2010.0,1.0,,,2.13,0.5,L2 Cache,,,Discontinued,
Atom Z600,1,2,800 MHz,1.2 GHz,,512KB,1.3,BGA518,Atom,,,2010.0,1.0,,,1.2,0.5,Intel Smart Cache,,,Discontinued,Yes (Name Unknown)
Atom Z605,1,2,1 GHz,,,512KB,2.2,BGA518,Atom,,,,,,,,,,,,,
Atom Z610,1,2,800 MHz,1.2 GHz,,512KB,1.3,BGA518,Atom,,,,,,,,,,,,,
Atom Z612,1,2,900 MHz,1.5 GHz,,512KB,1.3,BGA518,Atom,,,,,,,,,,,,,
Atom Z615,1,2,1.2 GHz,1.6 GHz,,512KB,2.2,BGA518,Atom,,,2010.0,1.0,,,1.6,0.5,Intel Smart Cache,,,Discontinued,Yes (Name Unknown)
Atom Z620,1,2,900 MHz,1.5 GHz,,512KB,1.3,BGA518,Atom,,,,,,,,,,,,,
Atom Z625,1,2,1.5 GHz,1.9 GHz,,512KB,2.2,BGA518,Atom,,,2010.0,1.0,,,1.9,0.5,Intel Smart Cache,,,Discontinued,Yes (Name Unknown)
Atom Z650,1,2,1.2 GHz,,,512KB,3.0,BGA518,Atom,,,2011.0,1.0,,,1.2,0.5,L2 Cache,,,Discontinued,Yes (Name Unknown)
Atom Z670,1,2,1.5 GHz,,,512KB,3.0,BGA518,Atom,,,2011.0,1.0,,,1.5,0.5,,,,Discontinued,Yes (Name Unknown)
Celeron BX80523R266000,1,1,266 MHz,,66.0,0,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron Celeron 266,1,1,266 MHz,,66.0,0,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron 300A,1,1,300 MHz,,66.0,128KB,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron BX80523R300000,1,1,300 MHz,,66.0,0,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron BX80524P300128,1,1,300 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron Celeron 300,1,1,300 MHz,,66.0,0,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron FV80524RX300128,1,1,300 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron 80524RX333128,1,1,333 MHz,,66.0,128KB,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron BX80524P333128,1,1,333 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron FV80524RX333128,1,1,333 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron 80524RX366128,1,1,366 MHz,,66.0,128KB,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron BX80524P366128,1,1,366 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron FV80524RX366128,1,1,366 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron 80524RX400128,1,1,400 MHz,,66.0,128KB,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron BX80524P400128,1,1,400 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron FV80524RX400128,1,1,400 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron 80524RX433128,1,1,433 MHz,,66.0,128KB,,Slot 1,Celeron,,,,,,,,,,,,,
Celeron BX80524P433128,1,1,433 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron FV80524RX433128,1,1,433 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron BX80524P466128,1,1,466 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron FV80524RX466128,1,1,466 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron BX80524P500128,1,1,500 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron FV80524RX500128,1,1,500 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron BX80524P533128,1,1,533 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron FV80524RX533128,1,1,533 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron 533A,1,1,533 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RX566128,1,1,566 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RX600128,1,1,600 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RX633128,1,1,633 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RX667128,1,1,667 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RX700128,1,1,700 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RX733128,1,1,733 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RX766128,1,1,766 MHz,,66.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RY800128,1,1,800 MHz,,100.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RY850128,1,1,850 MHz,,100.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RY900128,1,1,900 MHz,,100.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RK80530RY900256,1,1,900 MHz,,100.0,256KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RY950128,1,1,950 MHz,,100.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RY001128,1,1,1 GHz,,100.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RK80530RY001256,1,1,1 GHz,,100.0,256KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RB80526RY005128,1,1,1.1 GHz,,100.0,128KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RK80530RY005256,1,1,1.1 GHz,,100.0,256KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron 220,1,1,1.2 GHz,,533.0,512KB,19.0,BGA479,Celeron,,,2007.0,1.0,,,1.2,0.5,L2 Cache,,,Discontinued,
Celeron RK80530RY009256,1,1,1.2 GHz,,100.0,256KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RK80530RY013256,1,1,1.3 GHz,,100.0,256KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RK80530RY017256,1,1,1.4 GHz,,100.0,256KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RK80530RY021256,1,1,1.5 GHz,,100.0,256KB,,Socket 370,Celeron,,,,,,,,,,,,,
Celeron RK80531RC021128,1,1,1.5 GHz,,400.0,128KB,,Socket 478,Celeron,,,,,,,,,,,,,
Celeron 420,1,1,1.6 GHz,,800.0,512KB,35.0,Socket 775,Celeron,,,2007.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,
Celeron RK80531RC025128,1,1,1.6 GHz,,400.0,128KB,,Socket 478,Celeron,,,,,,,,,,,,,
Celeron RK80532RC025128,1,1,1.6 GHz,,400.0,128KB,,Socket 478,Celeron,,,,,,,,,,,,,
Celeron RK80531RC029128,1,1,1.7 GHz,,400.0,128KB,63.5,Socket 478,Celeron,,,,,,,,,,,,,
Celeron 430,1,1,1.8 GHz,,800.0,512KB,35.0,Socket 775,Celeron,,,2007.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,
Celeron RK80532RC033128,1,1,1.8 GHz,,400.0,128KB,59.1,Socket 478,Celeron,,,,,,,,,,,,,
Celeron RK80531RC033128,1,1,1.8 GHz,,400.0,128KB,66.1,Socket 478,Celeron,,,,,,,,,,,,,
Celeron RK80531RC037128,1,1,1.9 GHz,,400.0,128KB,,Socket 478,Celeron,,,,,,,,,,,,,
Celeron 440,1,1,2 GHz,,800.0,512KB,,Socket 775,Celeron,,,2006.0,1.0,,,2.0,0.5,L2 Cache,,,Discontinued,
